% MoM Electric Field Results - Generated: 2025-06-01 13:19:19
% Distance(m)	Field_dB	Magnitude(V/m)	Real(V/m)	Imag(V/m)	Phase(deg)
367.713258	-35.822740	3.151008e-01	2.978195e-01	1.029178e-01	19.064
367.790525	-35.813252	3.154795e-01	5.613577e-02	-3.104450e-01	-79.750
367.867792	-35.938710	3.109893e-01	-3.097253e-01	-2.800993e-02	-174.833
367.945058	-35.806163	3.158057e-01	1.858437e-02	3.152584e-01	86.626
368.022325	-36.043117	3.073402e-01	3.036306e-01	-4.760765e-02	-8.911
368.099592	-35.817079	3.154776e-01	-9.146086e-02	-3.019288e-01	-106.853
368.176859	-36.124638	3.045353e-01	-2.800728e-01	1.195867e-01	156.878
368.254126	-35.853609	3.142218e-01	1.583096e-01	2.714284e-01	59.747
368.331393	-36.176548	3.027865e-01	2.405899e-01	-1.838374e-01	-37.384
368.408660	-35.918555	3.119488e-01	-2.153353e-01	-2.257050e-01	-133.653
368.485927	-36.198521	3.020870e-01	-1.876201e-01	2.367600e-01	128.395
368.563194	-36.009492	3.087668e-01	2.593465e-01	1.675600e-01	32.866
368.640461	-36.196726	3.022150e-01	1.243522e-01	-2.754459e-01	-65.703
368.717728	-36.119073	3.049620e-01	-2.879334e-01	-1.004797e-01	-160.763
368.794995	-36.182192	3.027868e-01	-5.453419e-02	2.978353e-01	100.376
368.872261	-36.236072	3.009470e-01	2.996014e-01	2.842709e-02	5.420
368.949528	-36.168101	3.033441e-01	-1.774739e-02	-3.028245e-01	-93.354
369.026795	-36.347271	2.971831e-01	-2.938487e-01	4.439296e-02	171.409
369.104062	-36.166947	3.034501e-01	8.830201e-02	2.903183e-01	73.083
369.181329	-36.440084	2.940881e-01	2.711853e-01	-1.137822e-01	-22.762
369.258596	-36.188223	3.027733e-01	-1.530736e-01	-2.612282e-01	-120.369
369.335863	-36.505469	2.919458e-01	-2.330869e-01	1.757920e-01	142.977
369.413130	-36.236882	3.011471e-01	2.083739e-01	2.174164e-01	46.217
369.490397	-36.540293	2.908406e-01	1.818944e-01	-2.269421e-01	-51.288
369.567664	-36.312583	2.985985e-01	-2.511021e-01	-1.615821e-01	-147.239
369.644931	-36.548203	2.906388e-01	-1.206749e-01	2.644021e-01	114.532
369.722198	-36.409809	2.953386e-01	2.789260e-01	9.708335e-02	19.191
369.799464	-36.538438	2.910286e-01	5.305852e-02	-2.861511e-01	-79.495
369.876731	-36.519049	2.917105e-01	-2.903903e-01	-2.772118e-02	-174.547
369.953998	-36.523015	2.916088e-01	1.697857e-02	2.911141e-01	86.662
370.031265	-36.617501	2.884849e-01	2.858037e-01	-3.924018e-02	-7.818
370.108532	-36.494247	2.926389e-01	-7.471791e-02	-2.829395e-01	-104.793
370.185799	-36.664327	2.869951e-01	-2.719588e-01	9.167654e-02	161.371
370.263066	-36.467605	2.936005e-01	1.251055e-01	2.656123e-01	64.779
370.340333	-36.699085	2.859099e-01	2.488015e-01	-1.408626e-01	-29.517
370.417600	-36.453950	2.941252e-01	-1.711691e-01	-2.391877e-01	-125.589
370.494867	-36.719924	2.852856e-01	-2.170811e-01	1.851044e-01	139.546
370.572134	-36.454130	2.941818e-01	2.113862e-01	2.045943e-01	44.065
370.649401	-36.724396	2.851995e-01	1.779524e-01	-2.228715e-01	-51.394
370.726667	-36.470321	2.936965e-01	-2.443109e-01	-1.630025e-01	-146.289
370.803934	-36.713576	2.856158e-01	-1.326892e-01	2.529229e-01	117.683
370.881201	-36.498383	2.928115e-01	2.688925e-01	1.159113e-01	23.319
370.958468	-36.690323	2.864425e-01	8.293080e-02	-2.741747e-01	-73.171
371.035735	-36.538971	2.915085e-01	-2.841960e-01	-6.488341e-02	-167.139
371.113002	-36.658034	2.875705e-01	-3.027710e-02	2.859722e-01	96.044
371.190269	-36.584027	2.900620e-01	2.898249e-01	1.172704e-02	2.317
371.267536	-36.621394	2.888476e-01	-2.332535e-02	-2.879042e-01	-94.632
371.344803	-36.633529	2.884750e-01	-2.854438e-01	4.170918e-02	171.687
371.422070	-36.587487	2.900390e-01	7.617561e-02	2.798569e-01	74.773
371.499337	-36.678738	2.870384e-01	2.713146e-01	-9.369857e-02	-19.052
371.576604	-36.556272	2.911451e-01	-1.264095e-01	-2.622710e-01	-115.733
371.653870	-36.715715	2.858798e-01	-2.479479e-01	1.422993e-01	150.148
371.731137	-36.536715	2.918634e-01	1.722091e-01	2.356443e-01	53.841
371.808404	-36.744925	2.849806e-01	2.160035e-01	-1.858935e-01	-40.715
371.885671	-36.529956	2.921526e-01	-2.121494e-01	-2.008626e-01	-136.565
371.962938	-36.758923	2.845821e-01	-1.766624e-01	2.231084e-01	128.373
372.040205	-36.532762	2.921203e-01	2.448800e-01	1.592735e-01	33.041
372.117472	-36.756806	2.847119e-01	1.313787e-01	-2.525876e-01	-62.520
372.194739	-36.548398	2.916568e-01	-2.691569e-01	-1.123309e-01	-157.347
372.272006	-36.744787	2.851666e-01	-8.163667e-02	2.732315e-01	106.635
372.349273	-36.578316	2.907156e-01	2.841254e-01	6.154921e-02	12.223
372.426540	-36.725394	2.858647e-01	2.904735e-02	-2.843850e-01	-84.168
372.503807	-36.616822	2.894910e-01	-2.893623e-01	-8.632438e-03	-178.291
372.581073	-36.698155	2.868233e-01	2.457931e-02	2.857682e-01	85.084
372.658340	-36.656762	2.882240e-01	2.847609e-01	-4.454535e-02	-8.891
372.735607	-36.665776	2.879556e-01	-7.733403e-02	-2.773767e-01	-105.579
372.812874	-36.694487	2.870357e-01	-2.704765e-01	9.608293e-02	160.443
372.890141	-36.634797	2.890456e-01	1.273561e-01	2.594760e-01	63.857
372.967408	-36.728940	2.859600e-01	2.469523e-01	-1.441793e-01	-30.278
373.044675	-36.611817	2.898727e-01	-1.729294e-01	-2.326405e-01	-126.625
373.121942	-36.758732	2.850411e-01	-2.149529e-01	1.871996e-01	138.948
373.199209	-36.600514	2.903116e-01	2.125255e-01	1.977719e-01	42.941
373.276476	-36.781059	2.843695e-01	1.755614e-01	-2.237057e-01	-51.876
373.353743	-36.601326	2.903459e-01	-2.448283e-01	-1.560764e-01	-147.483
373.431010	-36.792751	2.840471e-01	-1.301389e-01	2.524809e-01	117.268
373.508276	-36.612670	2.900283e-01	2.687613e-01	1.090128e-01	22.078
373.585543	-36.791931	2.841340e-01	8.026489e-02	-2.725613e-01	-73.591
373.662810	-36.632214	2.894376e-01	-2.835199e-01	-5.822879e-02	-168.394
373.740077	-36.779020	2.846168e-01	-2.767087e-02	2.832685e-01	95.579
373.817344	-36.657577	2.886546e-01	2.886023e-01	5.495125e-03	1.091
373.894611	-36.756717	2.854088e-01	-2.582542e-02	-2.842380e-01	-95.192
373.971878	-36.686485	2.877563e-01	-2.838323e-01	4.735956e-02	170.527
374.049145	-36.729252	2.863732e-01	7.838401e-02	2.754370e-01	74.115
374.126412	-36.716690	2.868179e-01	2.693697e-01	-9.851143e-02	-20.088
374.203679	-36.701386	2.873540e-01	-1.282046e-01	-2.571691e-01	-116.497
374.280946	-36.745905	2.859151e-01	-2.457079e-01	1.462023e-01	149.246
374.358213	-36.677534	2.882050e-01	1.735859e-01	2.300653e-01	52.965
374.435479	-36.771884	2.851214e-01	2.136578e-01	-1.887976e-01	-41.465
374.512746	-36.661162	2.888096e-01	-2.129823e-01	-1.950630e-01	-137.515
374.590013	-36.792629	2.845012e-01	-1.743200e-01	2.248410e-01	127.787
374.667280	-36.654477	2.890930e-01	2.450542e-01	1.533726e-01	32.041
374.744547	-36.806668	2.841016e-01	1.290458e-01	-2.531026e-01	-62.985
374.821814	-36.658336	2.890254e-01	-2.687139e-01	-1.064355e-01	-158.392
374.899081	-36.813291	2.839449e-01	-7.939060e-02	2.726203e-01	106.236
374.976348	-36.672322	2.886212e-01	2.831614e-01	5.587317e-02	11.162
375.053615	-36.812684	2.840245e-01	2.705948e-02	-2.827326e-01	-84.533
375.130882	-36.694913	2.879321e-01	-2.879117e-01	-3.430901e-03	-179.317
375.208149	-36.805908	2.843060e-01	2.615188e-02	2.831007e-01	84.722
375.285416	-36.723733	2.870387e-01	2.828111e-01	-4.908280e-02	-9.846
375.362682	-36.794737	2.847318e-01	-7.841913e-02	-2.737200e-01	-105.987
375.439949	-36.755849	2.860395e-01	-2.680426e-01	9.985872e-02	159.567
375.517216	-36.781383	2.852299e-01	1.279519e-01	2.549203e-01	63.347
375.594483	-36.788116	2.850388e-01	2.441193e-01	-1.471492e-01	-31.081
375.671750	-36.768180	2.857238e-01	-1.730555e-01	-2.273542e-01	-127.277
375.749017	-36.817527	2.841350e-01	-2.118666e-01	1.893284e-01	138.215
375.826284	-36.757261	2.861434e-01	2.121884e-01	1.919742e-01	42.137
375.903551	-36.841546	2.834099e-01	1.723941e-01	-2.249477e-01	-52.534
375.980818	-36.750306	2.864327e-01	-2.440153e-01	-1.500007e-01	-148.420
376.058085	-36.858384	2.829205e-01	-1.270573e-01	2.527853e-01	116.685
376.135352	-36.748358	2.865571e-01	2.674525e-01	1.028792e-01	21.040
376.212619	-36.867169	2.826938e-01	7.741100e-02	-2.718884e-01	-74.107
376.289885	-36.751739	2.865057e-01	-2.817046e-01	-5.223090e-02	-169.496
376.367152	-36.867991	2.827263e-01	-2.515590e-02	2.816050e-01	95.105
376.444419	-36.760062	2.862914e-01	2.862913e-01	-2.031267e-04	-0.041
376.521686	-36.861818	2.829867e-01	-2.791956e-02	-2.816061e-01	-95.662
376.598953	-36.772325	2.859474e-01	-2.810639e-01	5.262161e-02	169.396
376.676220	-36.850292	2.834219e-01	8.000064e-02	2.718968e-01	73.604
376.753487	-36.787075	2.855221e-01	2.662095e-01	-1.032250e-01	-21.194
376.830754	-36.835466	2.839656e-01	-1.293085e-01	-2.528157e-01	-117.089
376.908021	-36.802623	2.850712e-01	-2.422445e-01	1.502771e-01	148.186
376.985288	-36.819507	2.845474e-01	1.741609e-01	2.250227e-01	52.261
377.062555	-36.817274	2.846504e-01	2.099967e-01	-1.921646e-01	-42.461
377.139822	-36.804424	2.851016e-01	-2.130299e-01	-1.894762e-01	-138.349
377.217088	-36.829557	2.843076e-01	-1.705765e-01	2.274521e-01	126.868
377.294355	-36.791850	2.855744e-01	2.445937e-01	1.473996e-01	31.074
377.371622	-36.838410	2.840774e-01	1.253388e-01	-2.549317e-01	-63.819
377.448889	-36.782902	2.859286e-01	-2.677821e-01	-1.002393e-01	-159.478
377.526156	-36.843296	2.839771e-01	-7.583640e-02	2.736637e-01	105.489
377.603423	-36.778118	2.861459e-01	2.818119e-01	4.961412e-02	9.985
377.680690	-36.844243	2.840055e-01	2.376673e-02	-2.830093e-01	-85.200
377.757957	-36.777479	2.862268e-01	-2.862137e-01	2.739601e-03	179.452
377.835224	-36.841794	2.841450e-01	2.908635e-02	2.826524e-01	84.125
377.912491	-36.780492	2.861874e-01	2.808471e-01	-5.502812e-02	-11.086
377.989758	-36.836880	2.843652e-01	-8.091406e-02	-2.726105e-01	-106.532
378.067025	-36.786335	2.860546e-01	-2.659045e-01	1.054611e-01	158.366
378.144291	-36.830652	2.846286e-01	1.299453e-01	2.532343e-01	62.836
378.221558	-36.794027	2.858611e-01	2.419041e-01	-1.523121e-01	-32.196
378.298825	-36.824288	2.848967e-01	-1.745084e-01	-2.251953e-01	-127.773
378.376092	-36.802601	2.856387e-01	-2.096725e-01	1.939765e-01	137.227
378.453359	-36.818812	2.851358e-01	2.130892e-01	1.894608e-01	41.641
378.530626	-36.811266	2.854134e-01	1.703179e-01	-2.290254e-01	-53.363
378.607893	-36.814979	2.853212e-01	-2.443831e-01	-1.472585e-01	-148.928
378.685160	-36.819494	2.852026e-01	-1.251946e-01	2.562555e-01	116.038
378.762427	-36.813221	2.854384e-01	2.673367e-01	1.000309e-01	20.515
378.839694	-36.827030	2.850147e-01	7.585895e-02	-2.747340e-01	-74.564
378.916961	-36.813711	2.854818e-01	-2.811778e-01	-4.938542e-02	-170.038
378.994228	-36.833804	2.848518e-01	-2.401270e-02	2.838379e-01	94.836
379.071494	-36.816473	2.854505e-01	2.854352e-01	-2.953696e-03	-0.593
379.148761	-36.839836	2.847134e-01	-2.856665e-02	-2.832767e-01	-95.758
379.226028	-36.821420	2.853474e-01	-2.799591e-01	5.519077e-02	168.848
379.303295	-36.845309	2.845933e-01	8.009875e-02	2.730889e-01	73.653
379.380562	-36.828149	2.851858e-01	2.649475e-01	-1.055166e-01	-21.715
379.457829	-36.850897	2.844694e-01	-1.288497e-01	-2.536151e-01	-116.933
379.535096	-36.835613	2.850001e-01	-2.409563e-01	1.522009e-01	147.721
379.612363	-36.857857	2.843007e-01	1.731480e-01	2.254920e-01	52.481
379.689630	-36.842550	2.848318e-01	2.088402e-01	-1.936877e-01	-42.844
379.766897	-36.866898	2.840640e-01	-2.114410e-01	-1.896973e-01	-138.103
379.844164	-36.849149	2.846746e-01	-1.696612e-01	2.285930e-01	126.583
379.921431	-36.876709	2.838023e-01	2.424494e-01	1.475196e-01	31.319
379.998697	-36.857123	2.844725e-01	1.247428e-01	-2.556635e-01	-63.991
380.075964	-36.873064	2.839801e-01	-2.633470e-01	-1.062689e-01	-158.024
380.153231	-36.840504	2.850760e-01	-8.797155e-02	2.711629e-01	107.974
380.230498	-36.857492	2.845482e-01	2.762031e-01	6.840700e-02	13.910
380.307765	-36.822891	2.857133e-01	4.938767e-02	-2.814125e-01	-80.046
380.385032	-36.841224	2.851402e-01	-2.836517e-01	-2.909804e-02	-174.143
380.462299	-36.808950	2.862311e-01	-9.635039e-03	2.860689e-01	91.929
380.539566	-36.823175	2.857921e-01	2.855786e-01	-1.104312e-02	-2.214
380.616833	-36.794044	2.867816e-01	-3.040373e-02	-2.851654e-01	-96.086
380.694100	-36.807082	2.863809e-01	-2.817889e-01	5.107861e-02	169.726
380.771367	-36.782061	2.872365e-01	7.009052e-02	2.785537e-01	75.876
380.848634	-36.787335	2.870916e-01	2.725033e-01	-9.035239e-02	-18.344
380.925900	-36.769540	2.877099e-01	-1.084564e-01	-2.664849e-01	-112.146
381.003167	-36.770571	2.877053e-01	-2.577048e-01	1.279163e-01	153.602
381.080434	-36.760340	2.880739e-01	1.448945e-01	2.489822e-01	59.803
381.157701	-36.750514	2.884296e-01	2.377920e-01	-1.632378e-01	-34.469
381.234968	-36.748263	2.885339e-01	-1.785956e-01	-2.266173e-01	-128.241
381.312235	-36.731822	2.891102e-01	-2.131345e-01	1.953417e-01	137.494
381.389502	-36.741272	2.888254e-01	2.087947e-01	1.995618e-01	43.705
381.466769	-36.715051	2.897283e-01	1.840309e-01	-2.237747e-01	-50.566
381.544036	-36.731130	2.892221e-01	-2.351130e-01	-1.684378e-01	-144.382
381.621303	-36.694206	2.904840e-01	-1.512950e-01	2.479733e-01	121.388
381.698570	-36.719783	2.896595e-01	2.568070e-01	1.339880e-01	27.553
381.775837	-36.677665	2.910973e-01	1.154745e-01	-2.672139e-01	-66.629
381.853103	-36.712773	2.899527e-01	-2.733676e-01	-9.665777e-02	-160.527
381.930370	-36.664431	2.916008e-01	-7.709126e-02	2.812258e-01	105.330
382.007637	-36.703006	2.903383e-01	2.846558e-01	5.716126e-02	11.354
382.084904	-36.647975	2.922136e-01	3.703499e-02	-2.898572e-01	-82.719
382.162171	-36.687911	2.909029e-01	-2.904365e-01	-1.646531e-02	-176.755
382.239438	-36.631608	2.928246e-01	3.763520e-03	2.928004e-01	89.264
382.316705	-36.673479	2.914462e-01	2.904067e-01	-2.459392e-02	-4.841
382.393972	-36.621082	2.932396e-01	-4.456735e-02	-2.898331e-01	-98.742
382.471239	-36.662188	2.918849e-01	-2.844791e-01	6.533341e-02	167.066
382.548506	-36.615218	2.934976e-01	8.469903e-02	2.810105e-01	73.227
382.625773	-36.650017	2.923540e-01	2.728337e-01	-1.050363e-01	-21.056
382.703040	-36.609000	2.937678e-01	-1.233905e-01	-2.665977e-01	-114.836
382.780306	-36.632937	2.929893e-01	-2.557870e-01	1.428836e-01	150.812
382.857573	-36.600085	2.941295e-01	1.597980e-01	2.469348e-01	57.092
382.934840	-36.611322	2.937793e-01	2.336927e-01	-1.780280e-01	-37.300
383.012107	-36.590236	2.945233e-01	-1.931015e-01	-2.223867e-01	-130.968
383.089374	-36.588717	2.946049e-01	-2.069350e-01	2.096901e-01	134.621
383.166641	-36.582565	2.948437e-01	2.225807e-01	1.933666e-01	40.982
383.243908	-36.568523	2.953509e-01	1.759672e-01	-2.372081e-01	-53.431
383.321175	-36.578708	2.950348e-01	-2.476390e-01	-1.603761e-01	-147.072
383.398442	-36.552039	2.959722e-01	-1.413430e-01	2.600418e-01	118.526
383.475709	-36.577960	2.951204e-01	2.677955e-01	1.240225e-01	24.850
383.552976	-36.538532	2.964933e-01	1.037206e-01	-2.777594e-01	-69.523
383.630243	-36.578035	2.951780e-01	-2.826711e-01	-8.501241e-02	-163.262
383.707509	-36.526328	2.969707e-01	-6.384676e-02	2.900261e-01	102.415
383.784776	-36.576321	2.952964e-01	2.919805e-01	4.412852e-02	8.594
383.862043	-36.513930	2.974554e-01	2.253060e-02	-2.966009e-01	-85.656
383.939310	-36.570859	2.955423e-01	-2.955341e-01	-2.203002e-03	-179.573
384.016577	-36.500630	2.979719e-01	1.938286e-02	2.973408e-01	86.270
384.093844	-36.560763	2.959462e-01	2.932431e-01	-3.990820e-02	-7.750
384.171111	-36.486597	2.985144e-01	-6.103666e-02	-2.922078e-01	-101.798
384.248378	-36.546172	2.965041e-01	-2.851268e-01	8.134731e-02	164.076
384.325645	-36.472624	2.990558e-01	1.015821e-01	2.812747e-01	70.143
384.402912	-36.527951	2.971872e-01	2.713171e-01	-1.212735e-01	-24.084
384.480179	-36.459764	2.995599e-01	-1.401960e-01	-2.647285e-01	-117.905
384.557446	-36.507330	2.979541e-01	-2.520598e-01	1.588790e-01	147.776
384.634712	-36.448990	2.999926e-01	1.760963e-01	2.428697e-01	54.055
384.711979	-36.485609	2.987609e-01	2.277122e-01	-1.934043e-01	-40.342
384.789246	-36.440976	3.003305e-01	-2.085562e-01	-2.161082e-01	-133.981
384.866513	-36.463960	2.995673e-01	-1.987375e-01	2.241516e-01	131.561
384.943780	-36.435992	3.005640e-01	2.369173e-01	1.849564e-01	37.978
385.021047	-36.443335	3.003404e-01	1.656963e-01	-2.504977e-01	-56.517
385.098314	-36.433889	3.006977e-01	-2.606020e-01	-1.500191e-01	-150.073
385.175581	-36.424445	3.010554e-01	-1.292351e-01	2.719056e-01	115.421
385.252848	-36.434163	3.007493e-01	2.791242e-01	1.119813e-01	21.860
385.330115	-36.407777	3.016949e-01	9.007333e-02	-2.879351e-01	-72.629
385.407382	-36.436040	3.007453e-01	-2.920993e-01	-7.159408e-02	-166.228
385.484649	-36.393630	3.022479e-01	-4.898868e-02	2.982514e-01	99.328
385.561915	-36.438589	3.007180e-01	2.992518e-01	2.965967e-02	5.660
385.639182	-36.382153	3.027089e-01	6.801201e-03	-3.026325e-01	-88.713
385.716449	-36.440822	3.007016e-01	-3.004211e-01	1.298524e-02	177.525
385.793716	-36.373367	3.030767e-01	3.564347e-02	3.009735e-01	83.246
385.870983	-36.441800	3.007287e-01	2.955656e-01	-5.548637e-02	-10.632
385.948250	-36.367186	3.033539e-01	-7.749127e-02	-2.932894e-01	-104.800
386.025517	-36.440706	3.008275e-01	-2.847635e-01	9.698922e-02	161.191
386.102784	-36.363424	3.035467e-01	1.178971e-01	2.797157e-01	67.145
386.180051	-36.436915	3.010197e-01	2.682124e-01	-1.366564e-01	-26.999
386.257318	-36.361796	3.036651e-01	-1.560421e-01	-2.605059e-01	-120.921
386.334585	-36.430031	3.013194e-01	-2.462255e-01	1.736846e-01	144.801
386.411852	-36.361923	3.037221e-01	1.911502e-01	2.360269e-01	50.997
386.489118	-36.419907	3.017318e-01	2.192260e-01	-2.073211e-01	-43.401
386.566385	-36.363328	3.037344e-01	-2.225039e-01	-2.067524e-01	-137.102
386.643652	-36.406644	3.022540e-01	-1.877392e-01	2.368785e-01	128.399
386.720919	-36.365452	3.037215e-01	2.494592e-01	1.732537e-01	34.781
386.798186	-36.390570	3.028751e-01	1.523823e-01	-2.617497e-01	-59.793
386.875453	-36.367665	3.037055e-01	-2.714585e-01	-1.361884e-01	-153.357
386.952720	-36.372198	3.035777e-01	-1.138525e-01	2.814196e-01	112.027
387.029987	-36.369288	3.037101e-01	2.880424e-01	9.628798e-02	18.484
387.107254	-36.352184	3.043394e-01	7.291316e-02	-2.954762e-01	-76.138
387.184521	-36.369629	3.037594e-01	-2.988589e-01	-5.434280e-02	-169.694
387.261788	-36.331262	3.051350e-01	-3.037916e-02	3.036189e-01	95.714
387.339055	-36.368018	3.038771e-01	3.036711e-01	1.118678e-02	2.110
387.416321	-36.310191	3.059378e-01	-1.289972e-02	-3.056657e-01	-92.417
387.493588	-36.363847	3.040844e-01	-3.023620e-01	3.231933e-02	173.899
387.570855	-36.289696	3.067224e-01	5.605560e-02	3.015566e-01	79.470
387.648122	-36.356618	3.043990e-01	2.949371e-01	-7.530502e-02	-14.323
387.725389	-36.270412	3.074661e-01	-9.822014e-02	-2.913558e-01	-108.630
387.802656	-36.345981	3.048334e-01	-2.815246e-01	1.169073e-01	157.449
387.879923	-36.252843	3.081507e-01	1.385423e-01	2.752506e-01	63.282
387.957190	-36.331767	3.053942e-01	2.623733e-01	-1.562877e-01	-30.781
388.034457	-36.237324	3.087640e-01	-1.762059e-01	-2.535481e-01	-124.798
388.111724	-36.314010	3.060808e-01	-2.378485e-01	1.926488e-01	140.994
388.188991	-36.224008	3.093000e-01	2.104467e-01	2.266686e-01	47.125
388.266258	-36.292951	3.068856e-01	2.084251e-01	-2.252503e-01	-47.222
388.343524	-36.212858	3.097596e-01	-2.405674e-01	-1.951367e-01	-140.953
388.420791	-36.269016	3.077943e-01	-1.746802e-01	2.534249e-01	124.578
388.498058	-36.203672	3.101498e-01	2.659516e-01	1.595702e-01	30.964
388.575325	-36.242780	3.087875e-01	1.372816e-01	-2.765927e-01	-63.603
388.652592	-36.196120	3.104820e-01	-2.860738e-01	-1.206682e-01	-157.130
388.729859	-36.214910	3.098422e-01	-9.697358e-02	2.942759e-01	108.239
388.807126	-36.189784	3.107710e-01	3.005097e-01	7.919955e-02	14.765
388.884393	-36.186129	3.109331e-01	5.455899e-02	-3.061090e-01	-79.894
388.961660	-36.184156	3.110349e-01	-3.089455e-01	-3.599143e-02	-173.355
389.038927	-36.157237	3.120317e-01	-1.087966e-02	3.118420e-01	91.998
389.116194	-36.178582	3.112971e-01	3.111921e-01	-8.086147e-03	-1.488
389.193461	-36.129184	3.131040e-01	-3.319689e-02	-3.113392e-01	-96.086
389.270727	-36.172220	3.115878e-01	-3.071933e-01	5.214635e-02	170.366
389.347994	-36.103006	3.141121e-01	7.678278e-02	3.045831e-01	75.851
389.425261	-36.164258	3.119361e-01	2.970174e-01	-9.531424e-02	-17.792
389.502528	-36.079450	3.150284e-01	-1.189856e-01	-2.916939e-01	-112.191
389.579795	-36.154382	3.123537e-01	-2.808371e-01	1.367309e-01	154.040
389.657062	-36.058654	3.158469e-01	1.589549e-01	2.729333e-01	59.784
389.734329	-36.142652	3.128385e-01	2.589468e-01	-1.755406e-01	-34.133
389.811596	-36.040904	3.165565e-01	-1.959058e-01	-2.486542e-01	-128.233
389.888863	-36.128382	3.134157e-01	-2.317993e-01	2.109467e-01	137.697
389.966130	-36.027304	3.171160e-01	2.290641e-01	2.192994e-01	43.752
390.043397	-36.107173	3.142448e-01	2.019103e-01	-2.407946e-01	-50.020
390.120664	-36.007015	3.179210e-01	-2.539824e-01	-1.912242e-01	-143.024
390.197931	-36.075438	3.154578e-01	-1.737637e-01	2.632866e-01	123.424
390.275197	-35.985259	3.187818e-01	2.745732e-01	1.619611e-01	30.535
390.352464	-36.042184	3.167309e-01	1.432276e-01	-2.824966e-01	-63.115
390.429731	-35.966998	3.195162e-01	-2.917042e-01	-1.303813e-01	-155.917
390.506998	-36.007505	3.180612e-01	-1.105923e-01	2.982152e-01	110.347
390.584265	-35.948778	3.202508e-01	3.052171e-01	9.696947e-02	17.625
390.661532	-35.973670	3.193661e-01	7.635242e-02	-3.101048e-01	-76.168
390.738799	-35.933428	3.208810e-01	-3.148303e-01	-6.202004e-02	-168.856
390.816066	-35.938004	3.207439e-01	-4.085808e-02	3.181309e-01	97.319
390.893333	-35.916989	3.215528e-01	3.204891e-01	2.613347e-02	4.662
390.970600	-35.904684	3.220406e-01	4.678972e-03	-3.220066e-01	-89.168
391.047867	-35.903476	3.221174e-01	-3.219501e-01	1.037859e-02	178.154
391.125134	-35.870873	3.233608e-01	3.189603e-02	3.217839e-01	84.339
391.202400	-35.886459	3.228132e-01	3.193796e-01	-4.695750e-02	-8.364
391.279667	-35.837973	3.246524e-01	-6.815716e-02	-3.174174e-01	-102.119
391.356934	-35.872407	3.234000e-01	-3.125497e-01	8.306780e-02	165.116
391.434201	-35.809572	3.257803e-01	1.038283e-01	3.087920e-01	71.415
391.511468	-35.856285	3.240651e-01	3.016400e-01	-1.184547e-01	-21.440
391.588735	-35.778971	3.269950e-01	-1.384404e-01	-2.962431e-01	-115.048
391.666002	-35.836249	3.248779e-01	-2.868932e-01	1.524399e-01	152.016
391.743269	-35.751765	3.280858e-01	1.713170e-01	2.798049e-01	58.522
391.820536	-35.819069	3.255857e-01	2.682438e-01	-1.845299e-01	-34.525
391.897803	-35.730504	3.289550e-01	-2.021719e-01	-2.594956e-01	-127.922
391.975070	-35.800944	3.263304e-01	-2.459136e-01	2.145181e-01	138.901
392.052337	-35.708620	3.298502e-01	2.307355e-01	2.357165e-01	45.612
392.129603	-35.776840	3.273021e-01	2.203777e-01	-2.419923e-01	-47.676
392.206870	-35.685660	3.307888e-01	-2.564825e-01	-2.088969e-01	-140.838
392.284137	-35.750725	3.283526e-01	-1.919640e-01	2.663930e-01	125.777
392.361404	-35.667193	3.315584e-01	2.789145e-01	1.792698e-01	32.731
392.438671	-35.727453	3.292987e-01	1.608685e-01	-2.873307e-01	-60.757
392.515938	-35.654789	3.320979e-01	-2.977641e-01	-1.470564e-01	-153.717
392.593205	-35.705755	3.301877e-01	-1.273874e-01	3.046249e-01	112.694
392.670472	-35.644464	3.325587e-01	3.129002e-01	1.126443e-01	19.799
392.747739	-35.681396	3.311804e-01	9.199338e-02	-3.181473e-01	-73.873
392.825006	-35.632138	3.330968e-01	-3.241779e-01	-7.656486e-02	-166.711
392.902273	-35.652634	3.323446e-01	-5.524673e-02	3.277205e-01	99.569
392.979540	-35.617328	3.337312e-01	3.313997e-01	3.937962e-02	6.777
393.056806	-35.621484	3.336045e-01	1.769175e-02	-3.331351e-01	-86.960
393.134073	-35.602371	3.343724e-01	-3.343685e-01	-1.606131e-03	-179.725
393.211340	-35.591479	3.348250e-01	2.018260e-02	3.342162e-01	86.544
393.288607	-35.589791	3.349232e-01	3.329513e-01	-3.629027e-02	-6.220
393.365874	-35.565175	3.359069e-01	-5.792855e-02	-3.308741e-01	-99.931
393.443141	-35.580478	3.353486e-01	-3.271115e-01	7.387014e-02	167.275
393.520408	-35.543148	3.368262e-01	9.510986e-02	3.231192e-01	73.598
393.597675	-35.573473	3.356854e-01	3.169096e-01	-1.106933e-01	-19.254
393.674942	-35.524384	3.376212e-01	-1.312819e-01	-3.110517e-01	-112.883
393.752209	-35.566737	3.360121e-01	-3.024870e-01	1.463071e-01	154.188
393.829476	-35.507223	3.383557e-01	1.659876e-01	2.948435e-01	60.622
393.906743	-35.558141	3.364111e-01	2.840471e-01	-1.802489e-01	-32.398
393.984009	-35.490205	3.390861e-01	-1.987656e-01	-2.747210e-01	-125.886
394.061276	-35.546158	3.369420e-01	-2.618421e-01	2.120581e-01	140.997
394.138543	-35.472520	3.398441e-01	2.291632e-01	2.509547e-01	47.599
